product_name,product_url,product_rating,product_price,product_revenue
"Dây cáp hub chia nguồn fan 1 ra 2, 3, 4, 5, 10 cổng 4pin điều tốc PWM - Mở rộng chân cắm fan case, dây bọc lưới siêu bền",https://shopee.vn/D%C3%A2y-c%C3%A1p-hub-chia-ngu%E1%BB%93n-fan-1-ra-2-3-4-5-10-c%E1%BB%95ng-4pin-%C4%91i%E1%BB%81u-t%E1%BB%91c-PWM-M%E1%BB%9F-r%E1%BB%99ng-ch%C3%A2n-c%E1%BA%AFm-fan-case-d%C3%A2y-b%E1%BB%8Dc-l%C6%B0%E1%BB%9Bi-si%C3%AAu-b%E1%BB%81n-i.297556930.4247309800?sp_atk=807eb8d4-af56-40a5-bc28-aced661eaab6&xptdk=807eb8d4-af56-40a5-bc28-aced661eaab6,4.9,19000,60800000
Bộ Hub Coolmoon + Điều khiển - Phiên bản mới có Led trên Hub,https://shopee.vn/B%E1%BB%99-Hub-Coolmoon-%C4%90i%E1%BB%81u-khi%E1%BB%83n-Phi%C3%AAn-b%E1%BA%A3n-m%E1%BB%9Bi-c%C3%B3-Led-tr%C3%AAn-Hub-i.83109123.4263813349?sp_atk=b99e77da-c931-4987-80cd-af990ca0e0fe&xptdk=b99e77da-c931-4987-80cd-af990ca0e0fe,4.9,75000,135000000
"Quạt Fan Case 8CM/ 9CM/ 12CM- Quạt mới 100% - Làm mát PC, thùng CPU. Quạt tản nhiệt fan case cho máy tính",https://shopee.vn/Qu%E1%BA%A1t-Fan-Case-8CM-9CM-12CM-Qu%E1%BA%A1t-m%E1%BB%9Bi-100-L%C3%A0m-m%C3%A1t-PC-th%C3%B9ng-CPU.-Qu%E1%BA%A1t-t%E1%BA%A3n-nhi%E1%BB%87t-fan-case-cho-m%C3%A1y-t%C3%ADnh-i.40850068.2585087744?sp_atk=f1fb4cf3-8bfd-4971-92f5-41e443dceda2&xptdk=f1fb4cf3-8bfd-4971-92f5-41e443dceda2,4.6,22000,83600000
"Ram laptop DDR2 2GB bus 667, 800, chính hãng, bảo hành 1 năm",https://shopee.vn/Ram-laptop-DDR2-2GB-bus-667-800-ch%C3%ADnh-h%C3%A3ng-b%E1%BA%A3o-h%C3%A0nh-1-n%C4%83m-i.67884462.1677842949?sp_atk=2d1b1611-9f71-40a1-bbb5-291b2fd3ff42&xptdk=2d1b1611-9f71-40a1-bbb5-291b2fd3ff42,5.0,59000,76700000
cpu pc g3220 / g3250 / g3240 / g3260 / g3420 / socket 1150 / tặng keo tản nhiệt,https://shopee.vn/cpu-pc-g3220-g3250-g3240-g3260-g3420-socket-1150-t%E1%BA%B7ng-keo-t%E1%BA%A3n-nhi%E1%BB%87t-i.424565855.9667543652?sp_atk=08b5904d-0140-4057-9b23-69c7c1dd5ee9&xptdk=08b5904d-0140-4057-9b23-69c7c1dd5ee9,4.9,45000,63000000
Dây Nguồn Laptop 3 chấu xám - đen giao ngẫu nhiên 1.2m hoặc 1.5M mới 100% lỗi 1 đổi 1 VNET LOVIEM,https://shopee.vn/D%C3%A2y-Ngu%E1%BB%93n-Laptop-3-ch%E1%BA%A5u-x%C3%A1m-%C4%91en-giao-ng%E1%BA%ABu-nhi%C3%AAn-1.2m-ho%E1%BA%B7c-1.5M-m%E1%BB%9Bi-100-l%E1%BB%97i-1-%C4%91%E1%BB%95i-1-VNET-LOVIEM-i.37922119.1080162455?sp_atk=7a050199-6183-4560-a8e5-e3b8e6ed5263&xptdk=7a050199-6183-4560-a8e5-e3b8e6ed5263,4.9,15000,40500000
"Bộ kit 3 Quạt Fan Case 12cm ID-Cooling DF-12025 ARGB TRIO | Trắng Snow edition - Chính hãng, DF12025 LED 5V Rainbow sync",https://shopee.vn/B%E1%BB%99-kit-3-Qu%E1%BA%A1t-Fan-Case-12cm-ID-Cooling-DF-12025-ARGB-TRIO-Tr%E1%BA%AFng-Snow-edition-Ch%C3%ADnh-h%C3%A3ng-DF12025-LED-5V-Rainbow-sync-i.297556930.4447187279?sp_atk=c5a1d060-8941-4fb1-9197-e3dd35405f5a&xptdk=c5a1d060-8941-4fb1-9197-e3dd35405f5a,5.0,669000,869700000
Cáp Chia Nguồn SATA 1 Thành 2 - Dây Nguồn SATA 1 ra 2 Cong Bẻ Góc Trái 20Cm - Cáp nguồn SATA chữ Y cho HDD/SSD/DVD-R,https://shopee.vn/C%C3%A1p-Chia-Ngu%E1%BB%93n-SATA-1-Th%C3%A0nh-2-D%C3%A2y-Ngu%E1%BB%93n-SATA-1-ra-2-Cong-B%E1%BA%BB-G%C3%B3c-Tr%C3%A1i-20Cm-C%C3%A1p-ngu%E1%BB%93n-SATA-ch%E1%BB%AF-Y-cho-HDD-SSD-DVD-R-i.40850068.2385745414?sp_atk=d7cb8dcc-dd9a-4316-9b4f-63d6e7f77ea2&xptdk=d7cb8dcc-dd9a-4316-9b4f-63d6e7f77ea2,4.9,19000,36100000
[Mã ELCL12 giảm 9% đơn 300K] Ram Laptop/Máy tính DDR3L/DDR3 Silicon Power 4GB/8GB 1333Mhz/1600Mhz,https://shopee.vn/-M%C3%A3-ELCL12-gi%E1%BA%A3m-9-%C4%91%C6%A1n-300K-Ram-Laptop-M%C3%A1y-t%C3%ADnh-DDR3L-DDR3-Silicon-Power-4GB-8GB-1333Mhz-1600Mhz-i.487827544.10156713277?sp_atk=e55601ef-5bdd-4b6f-a9d4-b7a257ea4a8c&xptdk=e55601ef-5bdd-4b6f-a9d4-b7a257ea4a8c,4.9,199000,39800000
"Nguồn tổ ong 12v 5a đến 40a chuyên dụng cho led camera, nguồn 12v chất lượng bảo hành 12 tháng",https://shopee.vn/Ngu%E1%BB%93n-t%E1%BB%95-ong-12v-5a-%C4%91%E1%BA%BFn-40a-chuy%C3%AAn-d%E1%BB%A5ng-cho-led-camera-ngu%E1%BB%93n-12v-ch%E1%BA%A5t-l%C6%B0%E1%BB%A3ng-b%E1%BA%A3o-h%C3%A0nh-12-th%C3%A1ng-i.699690272.16024658939?sp_atk=7ea65dcc-1d72-49cf-88b7-6b0fd4eeb141&xptdk=7ea65dcc-1d72-49cf-88b7-6b0fd4eeb141,4.9,59000,188800000
